"Rk","Pick","Year","Height","Name","Del","TeamName","Team","Conf","G","Role","Min%","PRPG!","D-PRPG","BPM","OBPM","DBPM","ORtg","D-Rtg","Usg","eFG","TS","OR","DR","Ast","TO","A/TO","Blk","Stl","FTR","FC/40","Dunks","","Close 2","","Far 2","","FT","","2P","","3PR","3P/100","3P","3pp"
"52","-","Sr","6-8","Maximo Milovich","0","UC San Diego","BW","25","PF/C","31.3","0.8","1.5","-0.6","-1.5","0.9","124.4","100.7","10.5","61.4","59.9","8.4","16.6","6.5","13.3","2.1","2.0","0.7","40.9","4.1","0-0",".000","23-32",".719","1-4",".250","9-18",".500","24-36",".667","18.2","1.4","2-8",".250"
"53","-","Sr","6-7","Pablo Tamba","0","UC Davis","BW","26","Wing G","68.0","0.8","3.1","-0.0","-2.0","2.0","99.5","99.5","20.6","58.1","59.5","5.5","15.9","10.0","24.0","0.5","3.1","2.7","51.4","4.1","10-11",".909","92-140",".657","9-27",".333","57-92",".620","101-167",".605","6.7","1.0","2-12",".167"
"54","-","Sr","6-9","Niko Rocak","0","UC Davis","BW","26","PF/C","64.8","0.8","3.3","2.5","-1.5","3.9","110.0","95.5","13.7","55.5","60.7","9.9","22.6","11.3","24.0","1.0","9.3","1.9","73.6","4.9","3-3","1.000","34-57",".596","3-7",".429","48-67",".716","37-64",".578","29.7","2.3","9-27",".333"
"55","-","Jr","6-8","Aaron Price, Jr.","0","Cal Poly","BW","24","Wing F","22.8","0.7","0.6","-1.5","0.5","-2.0","110.5","115.2","18.4","57.0","58.7","8.2","11.5","2.2","14.5","0.4","0.8","1.0","20.9","4.0","7-8",".875","34-48",".708","3-12",".250","13-18",".722","37-60",".617","30.2","5.3","8-26",".308"
"56","-","Sr","6-6","Fidelis Okereke","0","Cal St. Bakersfield","BW","28","PF/C","60.0","0.7","1.8","-1.6","-1.8","0.2","103.8","110.3","16.7","50.4","54.9","10.1","12.8","5.4","21.6","0.5","6.5","2.3","65.9","5.4","7-9",".778","53-87",".609","12-41",".293","56-85",".659","65-128",".508","0.8","0.1","0-1",".000"
"57","-","Fr","6-5","Jurian Dixon","45.2","UC Irvine","BW","28","Wing G","59.8","0.7","2.9","0.0","-1.7","1.7","100.9","96.9","18.7","46.0","50.3","4.1","9.1","13.2","14.5","1.4","0.3","2.0","38.6","2.0","3-3","1.000","40-75",".533","20-56",".357","51-73",".699","60-131",".458","30.7","4.9","18-58",".310"
"58","-","Jr","6-10","Cade Pendleton","0","UC San Diego","BW","15","Wing F","6.2","0.7","0.5","8.2","7.7","0.4","140.4","102.5","17.9","72.7","74.1","3.5","9.0","11.8","9.8","1.3","2.0","0.9","9.1","3.6","0-0",".000","1-2",".500","0-0",".000","2-2","1.000","1-2",".500","90.9","17.7","10-20",".500"
"59","-","Sr","6-1","Justin Hohn","0","UC Irvine","BW","28","Scoring PG","71.9","0.6","3.7","0.2","-1.8","2.0","93.0","95.0","24.0","46.9","49.3","1.3","10.0","25.9","21.6","1.4","0.1","2.7","16.9","2.8","1-1","1.000","43-96",".448","16-61",".262","37-50",".740","59-157",".376","46.8","9.7","53-138",".384"
"60","-","So","6-6","Nils Cooper","79.6","UC Davis","BW","24","Wing F","39.3","0.6","1.7","-1.4","-2.2","0.8","115.6","103.9","11.9","50.0","56.3","8.4","12.5","6.1","13.1","1.5","0.9","2.0","62.3","4.0","15-15","1.000","28-42",".667","1-10",".100","28-38",".737","29-52",".558","14.8","1.3","1-9",".111"
"61","-","Fr","5-10","Torian Lee","0","UC Irvine","BW","28","Combo G","36.2","0.6","1.8","1.8","-2.0","3.7","117.5","95.8","11.3","58.9","60.4","1.5","5.9","7.7","11.2","1.9","0.2","3.1","15.5","4.4","0-0",".000","6-11",".545","6-12",".500","10-13",".769","12-23",".522","72.6","8.5","25-61",".410"
"62","-","Sr","6-5","Niyi Olabode","0","UC Riverside","BW","28","Wing F","51.8","0.6","1.7","0.2","-0.3","0.5","110.0","108.3","12.3","50.8","52.1","5.9","17.0","7.2","15.4","1.4","0.8","1.6","13.6","2.9","1-1","1.000","22-30",".733","5-23",".217","11-16",".688","27-53",".509","55.1","6.5","22-65",".338"
"63","-","Sr","6-2","Marcus Greene","0","Hawaii","BW","26","Combo G","51.1","0.6","1.6","-3.0","-2.3","-0.8","97.1","110.2","21.5","47.4","50.6","1.7","8.3","14.8","19.3","1.1","0.6","1.1","21.0","3.7","1-2",".500","28-50",".560","21-47",".447","29-37",".784","49-97",".505","44.9","8.9","23-79",".291"
"64","-","So","6-9","Akira Jacobs","0","Hawaii","BW","25","Stretch 4","43.9","0.6","1.4","-2.7","-1.3","-1.4","100.4","110.4","19.3","50.4","54.1","5.3","11.0","6.4","20.4","0.5","0.7","0.5","33.3","4.0","1-2",".500","24-35",".686","2-11",".182","31-42",".738","26-46",".565","63.5","10.4","25-80",".313"
"65","-","Fr","6-5","Cayden Ward","0","Cal Poly","BW","17","Wing F","22.9","0.6","1.0","-4.5","-2.0","-2.5","95.5","113.2","24.4","48.5","51.1","8.1","18.6","8.7","20.0","0.5","0.8","1.0","25.2","5.7","3-5",".600","25-54",".463","1-5",".200","18-26",".692","26-59",".441","42.7","9.0","16-44",".364"
