RK,Pick,YEAR,HEIGHT,PLAYER,TEAM,CONF,POS,Role,MIN%,PRPG!,D-PRPG,BPM,OBPM,DBPM,ORTG,D-Rtg,USG,EFG,TS,OR,DR,AST,TO,A/TO,BLK,STL,FTR,FC/40,Dunks,Close 2,Far 2,FT,2P,3PR,3P/100,3P
591,-,So,5-9,Allan Guei,Cal St. Northridge,BW,Scoring PG,40.8,-0.1,0.9,-4.9,-3.1,-1.8,87.6,111.7,17.1,38.6,42.2,1.8,6.9,21.3,22.9,1.6,0.7,2.0,22.9,3.9,0-0,0.000,0.476,0.223,0.717,0.310,2.8,21-45,0.467
592,-,So,6-9,Karlis Garoza,Cal Poly,BW,C,21.8,-0.1,0.7,-7.4,-5.1,-2.3,89.8,112.1,16.7,42.6,46.0,13.2,18.3,6.0,24.9,0.5,1.6,1.5,48.1,6.4,4-5,0.800,0.474,0.371,0.587,0.430,0.1,0-1,0.000
593,-,So,6-5,Dwight Ramos,Cal St. Fullerton,BW,Stretch 4,10.0,-0.1,0.5,-6.4,-4.7,-1.6,83.8,107.8,21.1,40.9,52.9,4.3,7.0,8.2,15.9,0.8,2.1,1.3,27.9,6.4,0-0,0.000,0.571,0.318,0.440,0.417,11.3,14-52,0.269
594,-,Sr,6-5,Ryker Pierce,UC Riverside,BW,Wing G,5.8,-0.1,0.4,-5.8,-3.9,-1.9,86.5,110.7,17.5,36.6,46.3,4.1,4.1,4.0,8.9,1.0,0.8,2.0,36.7,5.1,0-0,0.000,0.375,0.000,0.667,0.200,10.5,8-26,0.308
595,-,Sr,6-4,Drew Cobb,Long Beach St.,BW,Wing G,38.9,-0.1,1.7,-1.8,-1.9,0.1,97.3,106.1,11.6,44.8,50.5,4.4,13.2,12.2,21.2,1.6,0.6,1.5,31.4,2.2,1-1,1.000,0.579,0.298,0.705,0.470,1.9,16-64,0.250
596,-,Jr,6-6,Zoar Nedd,Hawaii,BW,PF/C,5.6,-0.1,0.5,-3.9,-3.5,-0.4,87.3,103.1,16.1,39.2,47.8,4.8,11.7,9.7,16.8,1.6,0.5,1.2,21.4,3.1,0-0,0.000,0.700,0.250,0.625,0.571,11.2,8-37,0.216
597,-,Sr,6-3,Aaron Wright,UC Irvine,BW,Scoring PG,30.0,-0.1,1.9,-2.4,-4.5,2.1,87.7,96.9,18.1,43.5,48.6,2.5,11.5,18.3,28.8,1.3,0.4,2.8,64.9,5.5,0-0,0.000,0.469,0.278,0.630,0.400,3.3,38-111,0.342
598,-,Fr,6-4,Ben Egbo,UC Irvine,BW,Wing G,11.5,-0.1,0.7,-4.8,-5.5,0.7,98.0,98.1,10.7,54.8,53.4,3.5,12.4,6.5,23.2,1.0,0.0,0.8,23.8,4.3,1-1,1.000,0.600,0.500,0.600,0.588,1.6,1-4,0.250
599,-,So,6-4,Michael Harper,Hawaii,BW,Wing G,2.8,-0.1,0.2,-4.3,-6.1,1.7,91.5,105.2,11.3,61.1,60.3,1.9,9.4,2.7,32.3,0.1,1.7,3.6,25.6,6.9,0-0,0.000,0.000,0.500,0.500,0.333,5.3,3-6,0.500
600,-,Jr,6-5,Brendan Harrick,Cal St. Northridge,BW,Stretch 4,37.7,-0.1,0.8,-5.6,-2.3,-3.3,89.2,115.7,15.5,43.6,46.0,3.3,10.5,5.9,16.7,0.8,1.8,0.6,11.2,3.0,0-1,0.000,0.579,0.288,0.806,0.423,9.3,60-203,0.296
601,-,Sr,6-11,Chayce Polynice,Long Beach St.,BW,Stretch 4,11.0,-0.1,0.5,-5.3,-4.7,-0.6,86.5,107.2,16.5,41.7,58.2,5.3,11.9,4.4,17.1,0.9,5.1,0.7,34.8,4.9,6-6,1.000,0.750,0.275,0.464,0.433,4.3,6-24,0.250
602,-,Sr,6-7,Ibrahim Famouke Doumbia,Cal St. Fullerton,BW,PF/C,8.6,-0.1,0.7,-3.2,-4.1,0.9,84.2,94.5,15.3,41.8,45.0,10.1,23.3,5.9,21.2,0.5,8.0,0.8,43.2,6.0,7-9,0.778,0.615,0.500,0.409,0.575,3.0,0-15,0.000
603,-,Sr,6-9,John Hayward-Mayhew,Cal St. Northridge,BW,PF/C,16.4,-0.1,0.5,-7.7,-5.1,-2.6,84.7,111.4,16.4,37.6,44.0,7.6,11.5,2.6,22.3,0.2,0.9,0.5,52.7,6.6,0-0,0.000,0.324,0.362,0.677,0.333,2.0,8-20,0.400
604,-,Jr,6-6,Gavin Davis,UC Riverside,BW,Wing F,10.2,-0.1,0.3,-5.2,-5.0,-0.3,91.9,113.5,12.1,50.0,70.4,5.3,1.0,4.2,27.5,0.5,2.7,1.4,14.3,6.8,0-1,0.000,0.750,0.500,0.667,0.600,5.2,3-11,0.273
605,-,Jr,6-2,Isaiah Lee,UC Irvine,BW,Combo G,44.6,-0.1,1.9,-1.2,-2.1,1.0,90.7,99.3,14.1,49.4,56.0,2.5,8.1,14.8,33.6,1.2,0.6,2.0,28.2,2.6,0-0,0.000,0.442,0.268,0.838,0.357,6.0,58-153,0.379
606,-,Sr,6-7,Ethan Menzies,Cal Poly,BW,Wing G,19.7,-0.1,0.7,-3.0,-2.8,-0.2,90.6,111.6,15.1,51.9,53.3,2.8,15.0,12.0,29.3,0.9,0.9,1.8,11.3,3.5,0-0,0.000,0.636,0.333,0.667,0.548,4.9,7-22,0.318
607,-,Jr,6-4,Wayne Arnold,Cal St. Fullerton,BW,Combo G,33.4,-0.1,1.6,-4.0,-2.9,-1.1,84.8,104.8,17.9,41.8,48.8,0.9,13.7,5.0,12.6,1.0,1.2,1.1,10.0,3.2,0-0,0.000,0.448,0.355,0.889,0.396,11.4,63-219,0.288
608,-,Sr,7-0,Darcy Malone,Cal St. Fullerton,BW,PF/C,15.3,-0.1,0.9,-4.0,-5.2,1.1,91.3,102.5,12.7,49.5,54.6,7.6,12.3,6.3,29.5,0.6,3.8,0.8,62.7,8.1,9-11,0.818,0.696,0.324,0.631,0.537,2.1,8-31,0.258
609,-,So,6-8,Wes Dipprey,Cal Poly,BW,null,54.7,-0.2,1.8,-2.1,-2.8,0.7,97.2,102.2,11.4,45.4,48.9,8.6,16.4,4.6,22.2,0.6,1.6,2.5,21.8,3.7,0-0,0.000,0.000,0.000,0.789,0.443,0.8,3-8,0.375
